开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-21 14:35:46,10.8,P1,TK-045,PASS,A4C138955467,PASS,-0.94,-0.94,0.10,-0.94,PASS,0.36,0.36,0.10,0.36,PASS,-0.56,-0.56,0.16,-0.56,PASS,PASS,18.3,19.2,17.1,-2.441,-3.0,0.0,PASS,18.7,20.0,17.3,-2.57,-3.0,-1.0,PASS,19.1,19.8,18.1,2.167,-3.0,-1.0,PASS,PASS,3.200,PASS,7.400,PASS,2.000,PASS
2023-04-21 14:36:14,10.8,P2,TK-045,PASS,A4C138955467,PASS,0.30,0.30,0.19,0.30,PASS,-0.42,-0.43,0.19,-0.43,PASS,-1.45,-1.46,0.18,-1.45,PASS,PASS,19.1,20.2,17.6,2.316,-2.0,0.0,PASS,19.5,20.5,18.3,2.539,2.0,0.0,PASS,19.9,21.1,18.7,2.127,3.0,0.0,PASS,PASS,1.800,PASS,14.200,PASS,3.600,PASS
2023-04-21 14:36:49,11.0,P1,TK-045,PASS,A4C138955467,PASS,0.43,0.43,0.09,0.43,PASS,1.76,1.76,0.09,1.76,PASS,1.06,1.06,0.15,1.06,PASS,PASS,19.0,19.9,18.0,-2.365,2.0,-1.0,PASS,19.4,20.4,18.4,2.148,-3.0,0.0,PASS,19.8,21.1,18.4,-2.612,2.0,0.0,PASS,PASS,1.000,PASS,14.400,PASS,1.200,PASS
2023-04-21 14:37:16,10.8,P2,TK-045,PASS,A4C138955467,PASS,0.74,0.74,0.15,0.74,PASS,-0.01,-0.02,0.17,-0.02,PASS,-1.12,-1.12,0.19,-1.12,PASS,PASS,19.2,20.4,18.2,-2.094,2.0,1.0,PASS,19.6,21.1,18.8,-2.13,3.0,2.0,PASS,20.0,20.9,18.2,2.103,4.0,2.0,PASS,PASS,2.600,PASS,14.800,PASS,2.600,PASS
2023-04-21 14:43:57,12.8,P1,TK-045,FAIL,A4C138955467,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,2.600,FAIL,14.800,FAIL,2.600,FAIL
2023-04-21 14:44:12,10.8,P2,TK-045,PASS,A4C138955467,PASS,1.04,1.04,0.14,1.04,PASS,0.32,0.31,0.17,0.31,PASS,-0.72,-0.72,0.18,-0.72,PASS,PASS,19.2,20.3,18.1,-2.585,3.0,2.0,PASS,19.6,20.7,18.8,-3.139,3.0,0.0,PASS,20.0,21.6,18.8,-2.982,3.0,1.0,PASS,PASS,2.000,PASS,12.200,PASS,1.200,PASS
2023-04-21 14:49:40,10.7,P2,TK-045,PASS,A4C138955467,PASS,0.75,0.75,0.16,0.75,PASS,0.06,0.05,0.17,0.05,PASS,-0.97,-0.97,0.19,-0.97,PASS,PASS,19.2,20.2,16.8,-2.219,4.0,1.0,PASS,19.6,20.9,18.1,-2.673,3.0,2.0,PASS,20.0,21.0,19.1,2.391,3.0,2.0,PASS,PASS,1.200,PASS,12.000,PASS,1.400,PASS
2023-04-21 14:50:09,10.8,P1,TK-045,PASS,A4C138955467,PASS,0.88,0.84,0.10,0.86,PASS,2.21,2.20,0.08,2.21,PASS,1.67,1.66,0.15,1.66,PASS,PASS,18.9,20.0,18.0,-2.625,-3.0,-2.0,PASS,19.3,20.3,18.2,-1.865,-2.0,0.0,PASS,19.7,20.9,18.6,-2.277,-2.0,0.0,PASS,PASS,1.000,PASS,9.600,PASS,1.600,PASS
2023-04-21 14:53:24,10.7,P1,TK-045,PASS,A4C138955467,PASS,-0.93,-0.94,0.10,-0.93,PASS,0.49,0.48,0.10,0.49,PASS,-0.27,-0.28,0.17,-0.27,PASS,PASS,18.9,19.9,18.2,-2.103,-2.0,0.0,PASS,19.3,20.7,18.4,-2.158,2.0,0.0,PASS,19.7,20.7,18.6,-2.194,-2.0,0.0,PASS,PASS,6.200,PASS,13.400,PASS,2.400,PASS
2023-04-21 14:54:51,12.7,P1,TK-045,FAIL,A4C138A55C50,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,6.200,FAIL,13.400,FAIL,2.400,FAIL
2023-04-21 14:55:40,10.8,P1,TK-045,FAIL,NULL,PASS,0.40,0.39,0.08,0.39,PASS,2.09,2.08,0.08,2.08,PASS,1.79,1.79,0.14,1.79,PASS,PASS,17.9,19.6,16.8,-2.425,-3.0,0.0,PASS,18.3,19.2,17.5,2.185,-2.0,-1.0,PASS,18.7,20.1,17.9,-2.658,-3.0,-1.0,PASS,FAIL,12.800,PASS,45.000,FAIL,15.800,PASS
2023-04-21 14:56:01,10.7,P1,TK-045,PASS,A4C138955467,PASS,-0.16,-0.16,0.08,-0.16,PASS,1.55,1.55,0.09,1.55,PASS,1.00,1.00,0.15,1.00,PASS,PASS,18.5,19.5,17.4,2.121,-3.0,0.0,PASS,18.8,20.7,18.0,-2.838,-4.0,0.0,PASS,19.2,20.5,18.0,2.414,-2.0,0.0,PASS,PASS,4.000,PASS,8.000,PASS,2.200,PASS
2023-04-21 14:56:52,12.7,P1,TK-045,FAIL,A4C1387555F7,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,4.000,FAIL,8.000,FAIL,2.200,FAIL
2023-04-21 14:58:23,10.8,P1,TK-045,PASS,A4C138355804,PASS,-1.15,-1.15,0.10,-1.15,PASS,0.18,0.17,0.10,0.18,PASS,0.22,0.21,0.14,0.21,PASS,PASS,15.0,15.8,14.1,2.524,-3.0,-1.0,PASS,15.3,16.5,14.4,-2.734,-2.0,-1.0,PASS,15.7,16.8,14.5,2.106,2.0,0.0,PASS,PASS,7.600,PASS,9.600,PASS,4.200,PASS
2023-04-21 14:59:00,10.8,P1,TK-045,PASS,A4C138355004,PASS,-1.91,-1.91,0.10,-1.91,PASS,-0.57,-0.57,0.10,-0.57,PASS,-0.92,-0.93,0.16,-0.93,PASS,PASS,6.6,7.4,5.8,-2.715,-3.0,-1.0,PASS,6.8,7.8,5.6,2.811,-3.0,-1.0,PASS,7.0,8.0,6.0,-2.319,-3.0,-2.0,PASS,PASS,9.000,PASS,19.800,PASS,3.800,PASS
2023-04-21 15:01:03,10.8,P1,TK-045,PASS,A4C138F55BB0,PASS,-2.21,-2.22,0.10,-2.21,PASS,-0.96,-0.97,0.11,-0.96,PASS,-1.20,-1.21,0.16,-1.20,PASS,PASS,19.0,20.2,18.0,2.191,-3.0,-1.0,PASS,19.4,20.6,18.3,2.072,-2.0,-1.0,PASS,19.8,20.9,18.6,-3.091,-3.0,0.0,PASS,PASS,13.000,PASS,15.400,PASS,4.200,PASS
2023-04-21 15:01:31,12.7,P1,TK-045,FAIL,A4C138C55265,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,13.000,FAIL,15.400,FAIL,4.200,FAIL
2023-04-21 15:02:05,10.8,P1,TK-045,FAIL,A4C138C55265,PASS,-3.19,-3.20,0.11,-3.20,PASS,-2.20,-2.21,0.11,-2.20,PASS,-3.02,-3.03,0.17,-3.02,PASS,PASS,12.6,13.8,11.8,-2.39,-2.0,-1.0,PASS,12.8,14.0,11.8,-2.319,-2.0,0.0,PASS,13.1,15.0,12.2,-2.46,2.0,0.0,PASS,FAIL,17.800,PASS,41.800,FAIL,11.800,PASS
2023-04-21 15:02:45,12.7,P1,TK-045,FAIL,A4C138C55265,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,17.800,FAIL,41.800,FAIL,11.800,FAIL
2023-04-21 15:03:41,10.8,P1,TK-045,PASS,A4C138C55265,PASS,-2.13,-2.14,0.12,-2.13,PASS,-1.87,-1.88,0.11,-1.88,PASS,-3.26,-3.27,0.18,-3.27,PASS,PASS,12.6,13.3,10.9,-2.591,-3.0,0.0,PASS,12.9,13.6,11.5,-2.74,-2.0,0.0,PASS,13.2,14.1,12.2,-2.582,-3.0,-1.0,PASS,PASS,7.800,PASS,12.600,PASS,15.600,PASS
2023-04-21 15:05:48,10.8,P2,TK-045,PASS,A4C138955467,PASS,1.04,1.03,0.16,1.04,PASS,0.47,0.47,0.20,0.47,PASS,-0.58,-0.58,0.21,-0.58,PASS,PASS,18.4,19.4,17.4,-2.026,3.0,1.0,PASS,18.8,19.8,18.0,2.399,2.0,2.0,PASS,19.2,20.5,17.9,2.472,4.0,2.0,PASS,PASS,2.800,PASS,27.800,PASS,3.800,PASS
2023-04-21 15:13:46,10.8,P1,TK-045,PASS,A4C138955467,PASS,-1.71,-1.72,0.12,-1.71,PASS,0.07,0.06,0.10,0.06,PASS,-0.71,-0.71,0.16,-0.71,PASS,PASS,18.9,20.5,17.9,2.405,-3.0,0.0,PASS,19.3,21.3,18.2,-2.267,2.0,1.0,PASS,19.7,20.6,18.7,-2.585,3.0,1.0,PASS,PASS,8.400,PASS,13.200,PASS,4.000,PASS
2023-04-21 15:14:15,10.8,P2,TK-045,PASS,A4C138955467,PASS,0.23,0.22,0.14,0.23,PASS,-0.28,-0.29,0.20,-0.29,PASS,-1.25,-1.26,0.18,-1.26,PASS,PASS,19.1,20.0,18.0,-2.872,2.0,1.0,PASS,19.4,20.7,17.4,2.591,3.0,0.0,PASS,19.9,21.1,18.4,2.478,3.0,1.0,PASS,PASS,3.400,PASS,28.600,PASS,4.000,PASS
2023-04-21 15:27:49,9.4,P1,TK-045,FAIL,A4C138955467,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,3.400,FAIL,28.600,FAIL,4.000,FAIL
2023-04-21 15:28:27,10.8,P1,TK-045,PASS,A4C138955467,PASS,-1.59,-1.59,0.13,-1.59,PASS,0.33,0.33,0.09,0.33,PASS,-0.22,-0.23,0.17,-0.23,PASS,PASS,18.6,19.5,17.7,2.264,-2.0,0.0,PASS,18.9,19.9,18.0,-2.57,-2.0,-1.0,PASS,19.3,20.9,18.3,-2.316,-3.0,0.0,PASS,PASS,8.000,PASS,9.600,PASS,2.800,PASS
2023-04-21 15:28:56,10.8,P2,TK-045,PASS,A4C138955467,PASS,1.11,1.10,0.16,1.11,PASS,0.53,0.53,0.17,0.53,PASS,-0.52,-0.53,0.18,-0.52,PASS,PASS,18.9,19.9,17.7,2.573,3.0,2.0,PASS,19.2,20.2,18.3,2.206,2.0,1.0,PASS,19.7,20.8,18.6,-1.913,-2.0,1.0,PASS,PASS,2.200,PASS,11.200,PASS,3.600,PASS
2023-04-21 15:51:36,12.8,P1,TK-045,FAIL,A4C138955467,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,2.200,FAIL,11.200,FAIL,3.600,FAIL
2023-04-21 15:52:08,12.7,P2,TK-045,FAIL,A4C138955467,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,2.200,FAIL,11.200,FAIL,3.600,FAIL
2023-04-21 16:10:53,10.9,P1,TK-045,PASS,A4C138955467,PASS,-2.74,-2.74,0.14,-2.74,PASS,-1.03,-1.03,0.10,-1.03,PASS,-1.41,-1.41,0.17,-1.41,PASS,PASS,19.1,19.9,17.8,2.176,-2.0,-1.0,PASS,19.4,20.4,18.2,-2.301,-3.0,-2.0,PASS,19.8,21.2,18.9,-2.518,-2.0,0.0,PASS,PASS,19.000,PASS,6.800,PASS,3.600,PASS
2023-04-21 16:11:35,10.8,P2,TK-045,PASS,A4C138955467,PASS,1.33,1.33,0.15,1.33,PASS,0.69,0.69,0.15,0.69,PASS,-0.49,-0.49,0.17,-0.49,PASS,PASS,19.2,20.2,18.5,-2.142,2.0,1.0,PASS,19.5,20.6,18.5,-2.78,-2.0,0.0,PASS,20.0,20.9,19.1,-2.188,3.0,1.0,PASS,PASS,1.400,PASS,7.400,PASS,3.600,PASS
2023-04-21 16:27:20,10.8,P1,TK-045,PASS,A4C138955467,PASS,-2.35,-2.36,0.11,-2.36,PASS,-0.69,-0.69,0.10,-0.69,PASS,-1.07,-1.08,0.15,-1.08,PASS,PASS,18.9,20.3,17.7,-2.404,-3.0,-2.0,PASS,19.3,20.8,18.1,2.292,-3.0,0.0,PASS,19.7,20.8,18.8,-3.214,2.0,0.0,PASS,PASS,9.200,PASS,11.400,PASS,5.600,PASS
2023-04-21 16:27:46,12.8,P2,TK-045,FAIL,A4C138955467,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,9.200,FAIL,11.400,FAIL,5.600,FAIL
2023-04-21 16:28:36,10.8,P2,TK-045,PASS,A4C138955467,PASS,0.66,0.66,0.17,0.66,PASS,0.07,0.06,0.19,0.06,PASS,-1.05,-1.05,0.24,-1.05,PASS,PASS,17.9,19.0,17.2,2.264,3.0,2.0,PASS,18.3,19.4,16.7,2.48,3.0,1.0,PASS,18.7,20.4,17.7,-2.466,3.0,2.0,PASS,PASS,2.600,PASS,25.400,PASS,2.200,PASS
2023-04-21 16:30:45,10.8,P1,TK-045,PASS,A4C138955467,PASS,-2.49,-2.50,0.13,-2.50,PASS,-0.94,-0.94,0.10,-0.94,PASS,-1.34,-1.34,0.16,-1.34,PASS,PASS,18.5,19.3,17.3,-2.475,-3.0,-1.0,PASS,18.9,19.9,17.9,-2.344,-3.0,0.0,PASS,19.3,20.6,18.1,-2.103,-3.0,-1.0,PASS,PASS,9.000,PASS,7.200,PASS,3.600,PASS
2023-04-21 16:31:17,10.7,P2,TK-045,PASS,A4C138955467,PASS,0.72,0.72,0.14,0.72,PASS,0.17,0.17,0.16,0.17,PASS,-0.89,-0.90,0.20,-0.89,PASS,PASS,18.8,20.5,17.9,2.004,-2.0,0.0,PASS,19.2,20.1,17.8,2.271,3.0,1.0,PASS,19.6,21.2,18.6,2.109,3.0,0.0,PASS,PASS,1.800,PASS,8.800,PASS,2.200,PASS
