开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,
08:03:43,0:00:09,P2,TK-045,FAIL,MAC: A4C138755992,PASS,-4.07,-4.07,0.17,-4.07,PASS,-3.37,-3.38,0.16,-3.37,PASS,-3.10,-3.11,0.16,-3.11,PASS,PASS,20.7,21.7,19.9,2.03,-2,-1,PASS,21.2,22.5,20,-2.56,2,0,PASS,21.6,23.2,20.4,-2.32,-3,-2,PASS,FAIL,34.800,FAIL,20.600,PASS,13.800,PASS,
08:06:54,0:00:09,P2,TK-045,FAIL,MAC: A4C138055892,PASS,-4.62,-4.62,0.18,-4.62,PASS,-3.58,-3.59,0.17,-3.58,PASS,-3.19,-3.20,0.15,-3.20,PASS,PASS,18.8,19.9,17.4,2.53,2,1,PASS,19.1,20.8,17.9,-2.25,-2,0,PASS,19.6,20.7,18.4,-2.66,-4,-2,PASS,FAIL,45.200,FAIL,25.000,PASS,12.800,PASS,
08:07:27,0:00:09,P2,TK-045,FAIL,MAC: A4C138055792,PASS,-4.71,-4.71,0.16,-4.71,PASS,-3.83,-3.84,0.18,-3.84,PASS,-3.37,-3.38,0.23,-3.38,PASS,PASS,19,20.3,18.1,2.07,-3,0,PASS,19.4,20.4,18.3,-2.28,-3,0,PASS,19.8,21,18.3,3.29,-2,0,PASS,FAIL,39.600,FAIL,30.000,PASS,20.000,PASS,
08:07:54,0:00:09,P2,TK-045,FAIL,MAC: A4C138755E92,PASS,-4.89,-4.89,0.16,-4.89,PASS,-3.86,-3.86,0.16,-3.86,PASS,-2.92,-2.93,0.15,-2.92,PASS,PASS,19.2,20.3,17.9,2.01,-3,-1,PASS,19.5,20.6,17.4,2.86,-3,0,PASS,19.9,21.1,18.9,-2.51,-2,0,PASS,FAIL,56.000,FAIL,34.600,FAIL,11.400,PASS,
08:08:45,0:00:09,P2,TK-045,FAIL,MAC: A4C138855FC2,FAIL,-2.80,-2.85,0.15,-2.84,PASS,-3.96,-4.01,0.19,-3.99,PASS,-5.17,-5.22,0.17,-5.20,FAIL,PASS,23.7,25.3,22.4,2.2,-3,-1,PASS,24.2,25.8,23.2,-2.15,-3,0,PASS,24.7,26.5,23.9,2.31,-3,-2,PASS,FAIL,7.400,PASS,28.800,PASS,48.000,FAIL,
08:09:31,0:00:09,P2,TK-045,FAIL,MAC: A4C138755C92,FAIL,-2.53,-2.54,0.14,-2.53,PASS,-3.80,-3.81,0.20,-3.80,PASS,-5.08,-5.08,0.19,-5.08,FAIL,PASS,15,16.6,13.8,2.34,2,-1,PASS,15.3,16.5,13.8,-2.82,-3,-2,PASS,15.7,17.5,14.7,-1.96,-2,0,PASS,FAIL,10.400,PASS,31.000,FAIL,57.400,FAIL,
08:10:46,0:00:09,P2,TK-045,FAIL,MAC: A4C138755392,PASS,-0.64,-0.70,0.13,-0.65,PASS,-2.87,-2.89,0.19,-2.88,PASS,-4.44,-4.46,0.18,-4.45,PASS,PASS,25.3,26.5,23.6,-2.36,3,0,PASS,25.8,26.8,24.8,-2.71,-3,0,PASS,26.3,27.4,25.1,-2.65,-2,0,PASS,FAIL,0.800,PASS,12.800,PASS,36.400,FAIL,
08:17:31,0:00:09,P2,TK-045,FAIL,MAC: A4C138155692,PASS,-0.90,-0.91,0.13,-0.90,PASS,-0.39,-0.40,0.18,-0.40,PASS,-3.87,-3.88,0.17,-3.88,PASS,PASS,16.2,17.4,15.3,2.26,-3,0,PASS,16.5,17.6,15.6,-2.86,-2,0,PASS,16.9,17.8,15.7,-2.52,-2,0,PASS,FAIL,1.000,PASS,1.400,PASS,33.400,FAIL,
08:21:59,0:00:09,P2,TK-045,FAIL,MAC: A4C138955FA2,FAIL,-3.11,-3.34,0.14,-3.19,PASS,-2.70,-2.74,0.19,-2.72,PASS,-6.02,-6.04,0.21,-6.03,FAIL,PASS,29.6,30.8,28.2,2.37,-3,-1,PASS,30.1,31.2,28.9,-2.43,-3,-1,PASS,30.7,31.9,29.1,-1.92,-2,0,PASS,FAIL,10.400,PASS,7.600,PASS,64.000,FAIL,
08:25:48,0:00:09,P2,TK-045,FAIL,MAC: A4C138D55FB2,PASS,-1.25,-1.25,0.14,-1.25,PASS,-1.21,-1.22,0.19,-1.22,PASS,-4.54,-4.54,0.18,-4.54,PASS,PASS,15.2,16.7,13.9,-2,-2,0,PASS,15.5,16.5,14.2,-2.18,-2,-1,PASS,15.8,16.9,14.4,2.27,-2,0,PASS,FAIL,2.000,PASS,1.800,PASS,35.800,FAIL,
