开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-10 09:23:33,7.2,P1,TK-045,FAIL,A4C138255917,FAIL,-27.59,-27.60,0.17,-27.60,FAIL,-44.89,-45.00,0.97,-44.94,FAIL,-35.55,-35.57,0.24,-35.56,FAIL,PASS,22.2,24.8,20.0,-2.957,-4.0,-1.0,PASS,22.6,25.9,19.8,4.19,-5.0,0.0,PASS,23.1,25.8,20.4,-3.662,-4.0,-1.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:24:23,7.2,P1,TK-045,FAIL,A4C138255B17,FAIL,-29.12,-29.13,0.20,-29.13,FAIL,-42.78,-42.86,0.58,-42.81,FAIL,-34.01,-34.08,0.24,-34.04,FAIL,PASS,21.5,24.4,19.2,-3.133,-4.0,-2.0,PASS,21.9,24.3,18.8,-3.256,-3.0,0.0,PASS,22.4,25.4,19.9,-2.96,-5.0,-1.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:24:58,7.2,P1,TK-045,FAIL,A4C138255817,FAIL,-27.87,-27.88,0.17,-27.88,FAIL,-40.44,-40.49,0.49,-40.47,FAIL,-34.19,-34.19,0.24,-34.19,FAIL,PASS,21.4,23.8,19.2,-3.812,-4.0,-2.0,PASS,21.9,24.2,19.3,3.311,-5.0,-2.0,PASS,22.3,24.6,20.0,3.54,-3.0,0.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:25:35,7.2,P1,TK-045,FAIL,A4C138255F17,FAIL,-26.84,-26.85,0.15,-26.84,FAIL,-34.09,-34.12,0.25,-34.10,FAIL,-33.29,-33.29,0.23,-33.29,FAIL,PASS,24.3,26.6,21.8,-3.488,-3.0,-1.0,PASS,24.7,27.5,22.0,-3.872,-4.0,-2.0,PASS,25.3,27.5,22.3,3.21,-4.0,-2.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:26:07,7.2,P1,TK-045,FAIL,A4C138D55017,FAIL,-25.85,-25.86,0.16,-25.86,FAIL,-39.65,-39.79,0.48,-39.71,FAIL,-32.15,-32.16,0.20,-32.15,FAIL,PASS,21.6,24.3,19.3,-3.317,-4.0,-2.0,PASS,22.0,24.3,19.7,-3.391,-4.0,0.0,PASS,22.5,25.5,20.2,-3.168,-4.0,-2.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:26:44,6.9,P1,TK-045,FAIL,A4C138D55217,FAIL,-28.78,-28.80,0.19,-28.79,FAIL,-28.32,-28.32,0.18,-28.32,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,0.000,FAIL,0.000,FAIL,0.000,FAIL
2023-04-10 09:27:21,7.2,P1,TK-045,FAIL,A4C138D55B17,FAIL,-25.98,-25.99,0.14,-25.98,FAIL,-36.95,-36.96,0.43,-36.96,FAIL,-37.54,-37.58,0.28,-37.55,FAIL,PASS,18.0,20.3,16.1,3.381,3.0,0.0,PASS,18.4,20.8,16.0,3.513,-3.0,-2.0,PASS,18.8,21.1,16.9,-3.43,3.0,-1.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:27:58,10.9,P1,TK-045,FAIL,A4C138255117,FAIL,-29.60,-29.61,0.20,-29.61,FAIL,-48.10,-48.31,1.08,-48.16,FAIL,-33.46,-33.46,0.21,-33.46,FAIL,PASS,25.0,27.7,22.4,3.879,-4.0,-1.0,PASS,25.4,29.0,22.6,-3.928,4.0,-1.0,PASS,26.0,28.8,23.1,3.607,-4.0,-2.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:29:11,7.2,P1,TK-045,FAIL,A4C138D55117,FAIL,-30.99,-31.00,0.25,-31.00,FAIL,-33.99,-34.01,0.25,-34.00,FAIL,-28.76,-28.78,0.16,-28.77,FAIL,PASS,25.3,28.0,23.0,-3.445,-4.0,0.0,PASS,25.8,28.8,23.5,-2.713,-5.0,0.0,PASS,26.3,28.2,23.6,-3.601,-3.0,-2.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
2023-04-10 09:29:47,7.2,P1,TK-045,FAIL,A4C138D55A17,FAIL,-28.60,-28.71,0.19,-28.66,FAIL,-47.12,-47.71,1.25,-47.37,FAIL,-31.52,-31.54,0.18,-31.53,FAIL,PASS,22.9,25.1,20.7,4.105,-3.0,-1.0,PASS,23.3,26.0,20.5,3.983,-3.0,0.0,PASS,23.8,26.6,21.4,-4.266,-4.0,-1.0,PASS,FAIL,100.000,FAIL,100.000,FAIL,100.000,FAIL
