,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,Unnamed: 50
14:21:06,,0:00:09,P2,TK-045,PASS,MAC: A4C138255917,PASS,-2.57,-2.58,0.21,-2.57,PASS,-2.0,-2.01,0.21,-2.01,PASS,-1.34,-1.35,0.15,-1.35,PASS,PASS,22.4,23.5,21.8,2.48,2,0,PASS,22.8,23.9,21.9,1.73,-2,0,PASS,23.4,24.2,22.1,-2.13,-2,0,PASS,PASS,4.4,PASS,2.2,PASS,0.6,PASS
14:21:57,,0:00:09,P2,TK-045,PASS,MAC: A4C138255B17,PASS,-2.59,-2.6,0.21,-2.59,PASS,-2.16,-2.17,0.22,-2.17,PASS,-1.26,-1.27,0.14,-1.26,PASS,PASS,21.8,23.1,21.0,-2.82,-3,0,PASS,22.3,23.2,20.4,-2.69,-2,0,PASS,22.7,23.8,21.9,-2.15,-3,0,PASS,PASS,4.4,PASS,2.4,PASS,0.4,PASS
14:22:36,,0:00:09,P2,TK-045,PASS,MAC: A4C138255817,PASS,-2.66,-2.67,0.22,-2.67,PASS,-2.21,-2.21,0.21,-2.21,PASS,-1.29,-1.29,0.16,-1.29,PASS,PASS,21.8,22.8,20.7,-2.31,-3,0,PASS,22.2,23.6,21.5,-2.68,2,0,PASS,22.6,23.6,21.8,2.07,-2,0,PASS,PASS,5.2,PASS,2.8,PASS,1.4,PASS
14:23:44,,0:00:09,P2,TK-045,PASS,MAC: A4C138255F17,PASS,-1.53,-1.54,0.21,-1.54,PASS,-1.03,-1.04,0.2,-1.04,PASS,-0.35,-0.35,0.15,-0.35,PASS,PASS,24.6,26.4,23.2,-1.85,-3,0,PASS,25.0,26.7,23.5,2.44,2,0,PASS,25.6,26.7,24.7,-2.53,2,1,PASS,PASS,1.0,PASS,1.4,PASS,0.2,PASS
14:27:22,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55017,PASS,-0.75,-0.75,0.18,-0.75,PASS,-0.95,-0.95,0.22,-0.95,PASS,-0.82,-0.83,0.14,-0.82,PASS,PASS,22.0,22.9,21.0,2.08,-2,0,PASS,22.4,23.9,21.8,-2.35,2,1,PASS,22.9,23.9,21.6,2.51,-2,0,PASS,PASS,0.2,PASS,0.2,PASS,0.2,PASS
14:25:50,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55217,PASS,-0.23,-0.23,0.18,-0.23,PASS,-0.34,-0.34,0.21,-0.34,PASS,-1.02,-1.03,0.15,-1.03,PASS,PASS,14.9,15.6,13.5,-2.25,-3,-1,PASS,15.2,16.3,14.3,2.23,2,0,PASS,15.5,16.8,14.3,-3.17,-3,-2,PASS,PASS,0.4,PASS,0.4,PASS,1.0,PASS
14:25:19,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55B17,PASS,-0.35,-0.36,0.19,-0.35,PASS,-0.32,-0.32,0.2,-0.32,PASS,-1.05,-1.05,0.15,-1.05,PASS,PASS,18.3,19.3,17.6,-2.42,-2,0,PASS,18.7,19.6,17.3,-2.57,-3,-2,PASS,19.1,19.8,17.8,-2.51,-2,-1,PASS,PASS,0.2,PASS,0.4,PASS,0.2,PASS
14:24:21,,0:00:09,P2,TK-045,PASS,MAC: A4C138255117,PASS,-3.19,-3.19,0.24,-3.19,PASS,-2.54,-2.54,0.22,-2.54,PASS,-1.57,-1.57,0.15,-1.57,PASS,PASS,25.0,26.5,24.0,2.69,-3,-2,PASS,25.5,26.5,24.3,-2.25,-2,-1,PASS,26.0,27.7,24.9,2.84,-3,-1,PASS,PASS,10.6,PASS,5.2,PASS,1.0,PASS
14:28:19,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55117,PASS,-1.28,-1.29,0.19,-1.28,PASS,-1.21,-1.21,0.23,-1.21,PASS,-0.91,-0.91,0.14,-0.91,PASS,PASS,26.0,27.1,25.1,-2.16,-2,-2,PASS,26.5,27.7,25.5,3.11,2,1,PASS,27.0,29.0,25.9,-2.65,-3,0,PASS,PASS,0.6,PASS,1.4,PASS,0.0,PASS
14:27:51,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55A17,PASS,-1.2,-1.2,0.18,-1.2,PASS,-1.33,-1.33,0.23,-1.33,PASS,-1.18,-1.18,0.14,-1.18,PASS,PASS,23.5,24.5,22.2,-2.08,-3,-1,PASS,24.0,25.4,22.4,2.37,2,0,PASS,24.4,25.6,23.2,2.18,-2,-2,PASS,PASS,1.0,PASS,0.6,PASS,1.8,PASS
14:26:52,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55E17,PASS,-1.15,-1.15,0.19,-1.15,PASS,-1.35,-1.35,0.22,-1.35,PASS,-1.33,-1.34,0.15,-1.33,PASS,PASS,20.7,22.2,19.7,-2.3,-3,0,PASS,21.1,21.9,20.1,2.31,2,0,PASS,21.5,22.5,19.8,2.62,-3,-1,PASS,PASS,0.6,PASS,1.8,PASS,1.2,PASS
14:26:19,,0:00:10,P2,TK-045,PASS,MAC: A4C138D55317,PASS,-0.62,-0.63,0.19,-0.63,PASS,-0.76,-0.76,0.22,-0.76,PASS,-0.89,-0.9,0.15,-0.89,PASS,PASS,19.4,20.7,18.4,-2.77,-3,-2,PASS,19.8,21.1,17.9,2.43,-3,0,PASS,20.2,21.4,18.6,3.72,3,0,PASS,PASS,0.2,PASS,0.6,PASS,0.4,PASS
14:26:19,,0:00:10,P2,TK-045,PASS,MAC: A4C138D55317,PASS,-0.62,-0.63,0.19,-0.63,PASS,-0.76,-0.76,0.22,-0.76,PASS,-0.89,-0.9,0.15,-0.89,PASS,PASS,19.4,20.7,18.4,-2.77,-3,-2,PASS,19.8,21.1,17.9,2.43,-3,0,PASS,20.2,21.4,18.6,3.72,3,0,PASS,PASS,0.2,PASS,0.6,PASS,0.4,PASS
14:31:52,,0:00:09,P2,TK-045,PASS,MAC: A4C138D55717,PASS,-2.4,-2.4,0.19,-2.4,PASS,-2.06,-2.07,0.21,-2.06,PASS,-2.44,-2.44,0.16,-2.44,PASS,PASS,19.4,20.8,18.6,2.05,-2,0,PASS,19.8,21.0,18.2,2.37,-3,-1,PASS,20.2,21.5,18.9,-2.3,-3,-2,PASS,PASS,4.4,PASS,2.8,PASS,4.6,PASS
14:29:21,,0:00:13,P2,TK-045,PASS,MAC: A4C138D55617,PASS,-1.36,-1.37,0.19,-1.36,PASS,-1.1,-1.1,0.21,-1.1,PASS,-2.17,-2.18,0.16,-2.17,PASS,PASS,29.1,30.5,28.4,-2.09,-2,0,PASS,29.6,30.9,28.8,-2.52,-3,0,PASS,30.2,31.6,28.8,-2.31,2,0,PASS,PASS,0.6,PASS,0.6,PASS,2.4,PASS
14:30:39,,0:00:09,P2,TK-045,PASS,MAC: A4C138255E17,PASS,-2.89,-2.89,0.19,-2.89,PASS,-2.62,-2.63,0.22,-2.63,PASS,-2.88,-2.89,0.17,-2.89,PASS,PASS,16.3,17.3,15.1,2.08,-2,0,PASS,16.6,17.8,15.6,-2.55,-3,-2,PASS,17.0,18.4,15.6,-2.59,-2,-1,PASS,PASS,9.0,PASS,6.4,PASS,4.6,PASS
14:32:29,,0:00:09,P2,TK-045,PASS,MAC: A4C138655217,PASS,-1.64,-1.64,0.19,-1.64,PASS,-1.46,-1.46,0.21,-1.46,PASS,-2.04,-2.04,0.16,-2.04,PASS,PASS,23.0,23.6,22.2,-2.13,3,0,PASS,23.4,24.3,22.4,2.22,-2,0,PASS,23.9,25.2,23.2,2.29,-2,-1,PASS,PASS,1.2,PASS,0.4,PASS,2.6,PASS
14:13:07,,0:00:09,P1,TK-045,PASS,MAC: A4C138355B17,PASS,-0.5,-0.5,0.13,-0.5,PASS,-0.91,-0.92,0.15,-0.92,PASS,-3.06,-3.06,0.17,-3.06,PASS,PASS,27.3,28.5,26.4,-2.24,-3,-1,PASS,27.8,29.3,26.7,2.24,2,0,PASS,28.4,29.7,27.6,-2.19,-3,-1,PASS,PASS,0.0,PASS,0.0,PASS,4.4,PASS
14:15:18,,0:00:09,P2,TK-045,PASS,MAC: A4C138355117,PASS,-2.82,-2.82,0.23,-2.82,PASS,-0.92,-0.93,0.19,-0.93,PASS,0.18,0.18,0.14,0.18,PASS,PASS,19.3,20.4,18.3,2.37,2,0,PASS,19.7,21.6,18.4,3.09,3,0,PASS,20.1,21.2,19.2,-3.09,-3,-1,PASS,PASS,5.4,PASS,0.0,PASS,0.0,PASS
14:14:46,,0:00:10,P2,TK-045,PASS,MAC: A4C138C55217,PASS,-3.66,-3.66,0.24,-3.66,PASS,-2.11,-2.12,0.18,-2.11,PASS,-0.59,-0.59,0.14,-0.59,PASS,PASS,21.4,22.2,19.8,-1.97,2,0,PASS,21.8,22.9,20.6,-2.59,-3,0,PASS,22.3,23.3,21.4,-3.05,-4,0,PASS,PASS,12.0,PASS,2.2,PASS,0.0,PASS
14:14:20,,0:00:09,P2,TK-045,PASS,MAC: A4C138355D17,PASS,-3.07,-3.08,0.24,-3.08,PASS,-1.65,-1.66,0.19,-1.66,PASS,-0.47,-0.47,0.14,-0.47,PASS,PASS,18.3,19.6,17.2,-2.41,-2,-1,PASS,18.7,20.1,17.7,2.67,-3,0,PASS,19.1,20.7,18.2,2.4,-3,-1,PASS,PASS,8.2,PASS,1.2,PASS,0.2,PASS
14:17:10,,0:00:09,P1,TK-045,PASS,MAC: A4C138355C17,PASS,0.03,0.02,0.13,0.03,PASS,-0.56,-0.56,0.15,-0.56,PASS,-2.65,-2.65,0.18,-2.65,PASS,PASS,21.4,22.6,20.0,2.6,2,0,PASS,21.8,23.0,21.2,-2.9,-2,-1,PASS,22.2,23.7,21.4,2.73,3,0,PASS,PASS,0.2,PASS,0.6,PASS,3.6,PASS
14:16:56,,0:00:09,P2,TK-045,PASS,MAC: A4C138355E17,PASS,-2.84,-2.84,0.24,-2.84,PASS,-0.74,-0.75,0.17,-0.75,PASS,0.2,0.19,0.14,0.2,PASS,PASS,22.9,23.9,21.7,2.54,-2,-1,PASS,23.4,25.0,22.3,2.06,2,0,PASS,23.8,25.5,22.6,-2.23,-2,0,PASS,PASS,6.6,PASS,0.4,PASS,0.2,PASS
14:16:17,,0:00:09,P2,TK-045,PASS,MAC: A4C138355017,PASS,-2.95,-2.95,0.25,-2.95,PASS,-1.24,-1.25,0.19,-1.24,PASS,-0.3,-0.31,0.15,-0.3,PASS,PASS,22.2,23.2,21.3,-2.16,-2,0,PASS,22.6,23.4,21.3,-2.57,-3,-2,PASS,23.1,24.2,22.1,-2.26,-3,0,PASS,PASS,4.4,PASS,0.0,PASS,0.0,PASS
