开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-12 08:42:41,11.8,P1,TK-045,PASS,A4C138E55D44,PASS,0.17,0.11,0.11,0.13,PASS,-0.98,-1.00,0.13,-0.99,PASS,-2.85,-2.86,0.15,-2.86,PASS,PASS,24.9,25.7,24.1,-2.319,2.0,0.0,PASS,25.3,26.4,24.4,2.448,-2.0,0.0,PASS,25.9,27.0,24.8,-2.507,-3.0,0.0,PASS,PASS,1.000,PASS,8.400,PASS,10.267,PASS
2023-04-12 08:43:07,11.8,P1,TK-045,PASS,A4C138E55D44,PASS,0.18,0.12,0.11,0.14,PASS,-0.93,-0.99,0.13,-0.98,PASS,-2.77,-2.82,0.15,-2.80,PASS,PASS,25.1,26.2,23.6,2.573,-3.0,0.0,PASS,25.6,26.7,24.4,2.148,2.0,-1.0,PASS,26.1,27.6,24.5,2.313,-2.0,0.0,PASS,PASS,0.733,PASS,6.667,PASS,8.867,PASS
2023-04-12 08:43:40,11.7,P1,TK-045,PASS,A4C138E55D44,PASS,0.00,0.00,0.12,0.00,PASS,-1.07,-1.07,0.13,-1.07,PASS,-3.14,-3.15,0.14,-3.14,PASS,PASS,10.0,10.9,9.3,1.965,2.0,0.0,PASS,10.3,11.3,9.0,-2.42,2.0,0.0,PASS,10.5,11.4,9.3,-2.835,-3.0,-1.0,PASS,PASS,1.133,PASS,7.667,PASS,14.533,PASS
2023-04-12 08:44:08,11.7,P1,TK-045,PASS,A4C138E55844,PASS,-0.10,-0.11,0.11,-0.11,PASS,-1.14,-1.16,0.13,-1.14,PASS,-3.11,-3.12,0.15,-3.11,PASS,PASS,9.9,10.8,9.3,2.332,-2.0,-2.0,PASS,10.2,12.3,9.3,2.841,2.0,0.0,PASS,10.4,11.4,9.2,-2.646,3.0,-1.0,PASS,PASS,1.467,PASS,9.000,PASS,12.467,PASS
2023-04-12 08:51:43,11.8,P1,TK-045,FAIL,A4C138D551E5,FAIL,-12.47,-12.48,0.11,-12.48,FAIL,-13.83,-13.83,0.13,-13.83,FAIL,-15.69,-15.70,0.14,-15.69,FAIL,PASS,22.2,23.4,21.4,-2.75,-2.0,-2.0,PASS,22.6,24.2,21.6,2.423,-3.0,0.0,PASS,23.1,24.4,21.9,2.298,3.0,0.0,PASS,FAIL,99.200,FAIL,100.000,FAIL,100.000,FAIL
2023-04-12 08:57:59,10.1,P1,TK-045,FAIL,A4C138D55FE5,FAIL,-11.49,-11.49,0.10,-11.49,FAIL,-12.41,-12.41,0.12,-12.41,FAIL,-14.31,-14.32,0.15,-14.31,FAIL,PASS,22.0,22.6,21.0,-2.304,-2.0,0.0,PASS,22.4,23.2,21.7,-2.24,-2.0,-1.0,PASS,22.9,23.8,21.9,-3.061,-3.0,-1.0,PASS,FAIL,97.400,FAIL,100.000,FAIL,100.000,FAIL
2023-04-12 08:59:27,10.3,P1,TK-045,PASS,A4C138E55C27,PASS,-0.56,-0.57,0.11,-0.56,PASS,-1.46,-1.46,0.12,-1.46,PASS,-3.31,-3.31,0.15,-3.31,PASS,PASS,22.1,23.3,21.1,-2.063,-3.0,-2.0,PASS,22.5,23.5,21.1,2.377,-2.0,-2.0,PASS,23.0,24.0,22.3,-2.316,-3.0,-1.0,PASS,PASS,2.400,PASS,13.800,PASS,15.400,PASS
2023-04-12 08:59:52,10.2,P1,TK-045,PASS,A4C138D55FE5,PASS,-0.57,-0.57,0.11,-0.57,PASS,-1.46,-1.46,0.13,-1.46,PASS,-3.30,-3.31,0.15,-3.30,PASS,PASS,22.0,23.0,20.9,2.548,-3.0,-2.0,PASS,22.4,23.6,21.4,-2.484,-4.0,0.0,PASS,22.9,23.7,21.8,2.448,2.0,0.0,PASS,PASS,3.800,PASS,15.800,PASS,13.600,PASS
2023-04-12 09:00:16,10.2,P1,TK-045,PASS,A4C138D55FE5,PASS,-0.58,-0.59,0.11,-0.59,PASS,-1.47,-1.48,0.12,-1.48,PASS,-3.31,-3.31,0.15,-3.31,PASS,PASS,21.9,23.0,20.9,-2.525,-3.0,-2.0,PASS,22.4,23.4,21.6,-2.292,2.0,1.0,PASS,22.8,23.8,21.5,-2.191,2.0,0.0,PASS,PASS,3.400,PASS,12.000,PASS,18.400,PASS
2023-04-12 09:03:11,10.2,P1,TK-045,FAIL,A4C138D551E5,PASS,-0.94,-0.95,0.11,-0.95,PASS,-2.66,-2.67,0.13,-2.67,PASS,-4.74,-4.74,0.15,-4.74,PASS,PASS,21.8,23.3,20.7,-2.616,-3.0,0.0,PASS,22.3,23.0,20.7,-2.438,-3.0,0.0,PASS,22.7,24.1,21.5,-2.063,-3.0,-1.0,PASS,FAIL,2.600,PASS,18.000,PASS,36.600,FAIL
2023-04-12 09:03:44,10.2,P1,TK-045,FAIL,A4C138D55FE5,PASS,-0.95,-0.96,0.11,-0.96,PASS,-2.64,-2.64,0.13,-2.64,PASS,-4.64,-4.64,0.15,-4.64,PASS,PASS,21.8,22.9,21.0,2.057,-2.0,-1.0,PASS,22.3,23.2,21.4,-2.032,-2.0,0.0,PASS,22.8,24.0,21.8,-2.081,-2.0,-2.0,PASS,FAIL,2.200,PASS,30.200,PASS,32.000,FAIL
2023-04-12 09:04:19,10.3,P1,TK-045,FAIL,A4C138D55FE5,FAIL,-2.41,-2.41,0.11,-2.41,PASS,-4.09,-4.09,0.13,-4.09,PASS,-6.09,-6.10,0.15,-6.09,FAIL,PASS,21.9,23.0,21.1,2.023,-3.0,-2.0,PASS,22.3,23.7,21.6,2.441,2.0,0.0,PASS,22.8,23.6,21.4,2.301,-2.0,0.0,PASS,FAIL,10.400,PASS,44.600,FAIL,71.400,FAIL
2023-04-12 09:05:10,10.2,P1,TK-045,FAIL,A4C138D55FE5,FAIL,-2.42,-2.42,0.11,-2.42,PASS,-4.09,-4.09,0.13,-4.09,PASS,-6.09,-6.10,0.15,-6.10,FAIL,PASS,21.8,23.0,20.9,-2.039,2.0,0.0,PASS,22.3,23.2,21.1,-2.532,-3.0,-1.0,PASS,22.8,23.7,21.9,-2.554,-2.0,-2.0,PASS,FAIL,9.600,PASS,36.600,FAIL,75.200,FAIL
2023-04-12 09:05:51,10.2,P1,TK-045,FAIL,A4C138D55FE5,FAIL,-2.40,-2.41,0.11,-2.41,PASS,-4.07,-4.08,0.13,-4.08,PASS,-6.08,-6.09,0.15,-6.08,FAIL,PASS,21.9,22.9,20.6,-2.033,-3.0,0.0,PASS,22.4,23.2,20.9,2.548,-2.0,-1.0,PASS,22.8,24.0,21.8,-1.999,-3.0,0.0,PASS,FAIL,10.200,PASS,42.000,FAIL,70.400,FAIL
2023-04-12 09:07:02,10.2,P1,TK-045,FAIL,t22+6166156,FAIL,5.10,5.10,0.11,5.10,FAIL,3.44,3.43,0.13,3.43,PASS,1.43,1.43,0.14,1.43,PASS,PASS,22.0,22.9,21.0,2.197,2.0,0.0,PASS,22.4,24.0,21.3,2.74,-2.0,0.0,PASS,22.8,24.0,22.0,-2.247,-3.0,0.0,PASS,PASS,0.000,PASS,9.000,PASS,0.200,PASS
2023-04-12 09:09:24,10.3,P1,TK-045,PASS,t1618988,PASS,1.30,1.29,0.11,1.29,PASS,0.55,0.55,0.13,0.55,PASS,-1.30,-1.31,0.14,-1.30,PASS,PASS,22.0,23.1,20.9,2.176,2.0,0.0,PASS,22.4,23.1,21.3,-2.353,-3.0,0.0,PASS,22.8,24.1,22.1,-2.075,-3.0,0.0,PASS,PASS,0.200,PASS,5.000,PASS,1.400,PASS
2023-04-12 09:10:26,10.2,P1,TK-045,PASS,A4C138E550C7,PASS,1.50,1.49,0.11,1.49,PASS,0.89,0.89,0.13,0.89,PASS,-0.91,-0.91,0.14,-0.91,PASS,PASS,14.1,14.9,13.1,-2.544,-3.0,0.0,PASS,14.4,15.2,13.7,-2.31,-2.0,-1.0,PASS,14.7,15.7,13.5,2.637,3.0,0.0,PASS,PASS,1.000,PASS,3.600,PASS,1.200,PASS
2023-04-12 09:10:52,10.2,P1,TK-045,PASS,A4C138D553E5,PASS,1.41,1.40,0.11,1.40,PASS,0.65,0.64,0.13,0.64,PASS,-1.65,-1.66,0.16,-1.66,PASS,PASS,23.2,24.6,21.9,2.838,-3.0,0.0,PASS,23.6,24.6,22.2,2.081,2.0,-1.0,PASS,24.1,25.3,22.8,-2.722,2.0,0.0,PASS,PASS,0.200,PASS,4.400,PASS,1.600,PASS
2023-04-12 09:11:17,10.2,P1,TK-045,PASS,A4C138E555C7,PASS,1.83,1.83,0.10,1.83,PASS,1.04,1.04,0.13,1.04,PASS,-1.23,-1.24,0.14,-1.23,PASS,PASS,23.5,24.8,22.5,-2.448,-2.0,-1.0,PASS,23.9,25.2,23.0,1.785,-2.0,0.0,PASS,24.4,25.6,23.2,1.926,-3.0,-1.0,PASS,PASS,0.200,PASS,1.200,PASS,1.400,PASS
2023-04-12 09:11:39,10.2,P1,TK-045,PASS,A4C138D55FE5,PASS,2.61,2.60,0.11,2.61,PASS,1.35,1.34,0.13,1.34,PASS,-1.43,-1.43,0.15,-1.43,PASS,PASS,21.4,22.5,20.1,2.509,-3.0,-2.0,PASS,21.8,23.2,20.9,2.64,-2.0,-1.0,PASS,22.3,23.3,21.3,-2.798,-3.0,-2.0,PASS,PASS,0.200,PASS,0.200,PASS,1.800,PASS
2023-04-12 09:12:04,10.2,P1,TK-045,PASS,A4C138E554C7,PASS,1.97,1.96,0.11,1.96,PASS,1.18,1.17,0.13,1.18,PASS,-1.15,-1.16,0.15,-1.15,PASS,PASS,17.3,18.6,15.6,-2.771,-3.0,-2.0,PASS,17.7,19.1,16.8,2.258,-3.0,-1.0,PASS,18.0,18.8,16.1,-2.316,-2.0,0.0,PASS,PASS,0.600,PASS,6.400,PASS,1.800,PASS
