开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-05-05 00:00:06,10.7,P2,TK-045,PASS,A4C13805506F,PASS,-2.10,-2.11,0.18,-2.10,PASS,-2.01,-2.01,0.20,-2.01,PASS,-0.42,-0.43,0.16,-0.43,PASS,PASS,16.1,17.2,15.1,-2.521,3.0,2.0,PASS,16.4,17.5,15.4,-2.557,2.0,1.0,PASS,16.8,17.7,15.5,-3.189,3.0,2.0,PASS,PASS,12.200,PASS,7.400,PASS,1.400,PASS
2023-05-05 00:00:21,10.8,P1,TK-045,PASS,A4C13845546F,PASS,-0.34,-0.35,0.15,-0.34,PASS,1.05,1.05,0.15,1.05,PASS,-0.02,-0.03,0.23,-0.03,PASS,PASS,19.2,20.2,18.0,-2.655,-2.0,1.0,PASS,19.6,20.6,18.0,-2.399,3.0,1.0,PASS,20.0,21.3,19.0,-2.173,-2.0,0.0,PASS,PASS,3.200,PASS,2.600,PASS,2.400,PASS
2023-05-05 00:00:35,10.8,P2,TK-045,PASS,A4C138255A6F,PASS,-1.43,-1.48,0.21,-1.46,PASS,-1.34,-1.38,0.21,-1.36,PASS,0.07,0.06,0.23,0.07,PASS,PASS,18.1,19.2,16.6,2.435,3.0,2.0,PASS,18.5,19.9,17.4,2.289,3.0,1.0,PASS,18.9,20.0,17.5,2.325,3.0,2.0,PASS,PASS,5.600,PASS,2.600,PASS,5.000,PASS
2023-05-05 00:00:49,10.7,P1,TK-045,PASS,A4C13845516F,PASS,-0.76,-0.76,0.12,-0.76,PASS,0.68,0.67,0.13,0.68,PASS,-0.50,-0.51,0.22,-0.51,PASS,PASS,18.6,19.6,17.3,-2.023,3.0,1.0,PASS,19.0,20.1,17.6,2.283,2.0,0.0,PASS,19.4,20.3,18.3,2.396,3.0,1.0,PASS,PASS,6.000,PASS,2.000,PASS,5.600,PASS
2023-05-05 00:01:04,10.7,P2,TK-045,PASS,A4C13835576F,PASS,-1.73,-1.73,0.18,-1.73,PASS,-1.61,-1.61,0.18,-1.61,PASS,-0.16,-0.16,0.20,-0.16,PASS,PASS,13.6,15.1,12.6,2.097,3.0,1.0,PASS,13.9,14.8,12.4,-2.286,-2.0,0.0,PASS,14.3,15.4,12.4,2.292,3.0,0.0,PASS,PASS,5.600,PASS,4.600,PASS,2.600,PASS
2023-05-05 00:01:18,10.8,P1,TK-045,PASS,A4C13845576F,PASS,-0.92,-0.92,0.13,-0.92,PASS,0.47,0.47,0.14,0.47,PASS,-0.72,-0.72,0.19,-0.72,PASS,PASS,15.4,16.8,14.6,-2.271,2.0,1.0,PASS,15.7,17.0,14.7,2.225,-2.0,0.0,PASS,16.1,16.8,14.7,-2.701,2.0,1.0,PASS,PASS,5.800,PASS,0.600,PASS,4.400,PASS
2023-05-05 00:01:33,10.7,P2,TK-045,PASS,A4C138E5547F,PASS,-1.24,-1.25,0.19,-1.24,PASS,-1.42,-1.42,0.17,-1.42,PASS,0.12,0.11,0.16,0.12,PASS,PASS,17.1,18.8,15.3,-2.386,3.0,2.0,PASS,17.5,18.9,16.3,2.408,2.0,0.0,PASS,17.9,19.0,16.3,-2.515,2.0,0.0,PASS,PASS,5.200,PASS,1.800,PASS,5.000,PASS
2023-05-05 00:01:47,10.7,P1,TK-045,PASS,A4C13835546F,PASS,0.12,0.07,0.12,0.09,PASS,1.51,1.46,0.11,1.48,PASS,0.48,0.44,0.16,0.45,PASS,PASS,15.3,16.3,13.8,-3.326,-2.0,-1.0,PASS,15.6,17.1,14.5,1.99,-2.0,0.0,PASS,16.0,17.5,14.7,2.661,2.0,2.0,PASS,PASS,3.800,PASS,5.600,PASS,3.800,PASS
2023-05-05 00:02:02,10.8,P2,TK-045,PASS,A4C138B55C7F,PASS,-2.32,-2.33,0.21,-2.32,PASS,-2.19,-2.20,0.20,-2.19,PASS,-0.62,-0.63,0.19,-0.62,PASS,PASS,15.7,16.6,14.6,2.551,2.0,0.0,PASS,16.0,17.3,15.0,-2.225,3.0,0.0,PASS,16.4,17.4,15.5,2.164,2.0,1.0,PASS,PASS,10.000,PASS,6.400,PASS,3.400,PASS
2023-05-05 00:02:16,10.8,P1,TK-045,PASS,A4C138B5587F,PASS,-0.21,-0.22,0.15,-0.21,PASS,1.18,1.18,0.16,1.18,PASS,0.13,0.13,0.24,0.13,PASS,PASS,20.1,21.3,18.9,2.24,3.0,2.0,PASS,20.5,21.7,19.6,-2.429,3.0,2.0,PASS,21.0,21.7,19.4,2.194,-2.0,0.0,PASS,PASS,4.200,PASS,2.200,PASS,2.200,PASS
2023-05-05 00:02:30,10.7,P2,TK-045,PASS,A4C138B5597F,PASS,-2.04,-2.05,0.20,-2.05,PASS,-1.92,-1.92,0.22,-1.92,PASS,-0.41,-0.41,0.16,-0.41,PASS,PASS,18.4,19.5,17.1,-2.249,3.0,1.0,PASS,18.7,19.8,17.0,2.531,3.0,1.0,PASS,19.2,20.3,18.1,2.261,2.0,0.0,PASS,PASS,11.600,PASS,7.200,PASS,2.400,PASS
2023-05-05 00:02:45,10.8,P1,TK-045,PASS,A4C138B55F7F,PASS,-0.04,-0.05,0.14,-0.05,PASS,1.30,1.30,0.15,1.30,PASS,0.21,0.21,0.21,0.21,PASS,PASS,16.2,17.3,15.2,1.77,2.0,1.0,PASS,16.6,17.9,15.2,2.356,-3.0,1.0,PASS,16.9,18.0,15.8,2.82,3.0,0.0,PASS,PASS,3.400,PASS,2.000,PASS,2.400,PASS
2023-05-05 00:03:01,10.7,P2,TK-045,PASS,A4C13845536F,PASS,-0.70,-0.70,0.17,-0.70,PASS,-0.64,-0.65,0.16,-0.65,PASS,0.90,0.89,0.15,0.89,PASS,PASS,14.5,15.3,13.2,-2.103,2.0,2.0,PASS,14.8,15.7,14.0,-2.115,3.0,2.0,PASS,15.2,16.1,14.3,2.423,2.0,1.0,PASS,PASS,4.800,PASS,2.000,PASS,2.400,PASS
